model,prompt_id,prompt_text,response_id,response
claude-sonnet-4-6,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,11,"# ORDINARY

### An Original Screenplay

---

**FADE IN:**

---

**EXT. SUBURBAN STREET - EARLY MORNING**

*The kind of street that exists in every city and nowhere in particular. Identical houses lined up like teeth. Sprinklers tick and spin in the gray pre-dawn light.*

*A garbage truck groans around the corner. Somewhere, a dog barks twice and gives up.*

---

**INT. MARA'S APARTMENT - CONTINUOUS**

*Small. Clean in the way that suggests someone stopped caring about making it nice and settled for making it manageable.*

*An alarm clock reads 6:47 AM. It begins to buzz.*

*A hand slaps it. Misses. Slaps it again.*

**MARA CHEN (34)** sits up slowly. She has the face of someone who was pretty once and is still pretty now but has forgotten to notice. Dark circles. Hair that surrendered hours ago.*

*She sits on the edge of the bed for a long moment, elbows on knees, staring at the carpet like it owes her something.*

---

**INT. MARA'S BATHROOM - MOMENTS LATER**

*She brushes her teeth. Studies herself in the mirror with the detached assessment of someone reviewing a stranger's résumé.*

*She opens the medicine cabinet. Moves a prescription bottle — SERTRALINE, 50MG — to reach the mouthwash. She doesn't hide it. She doesn't look at it. It's just furniture now.*

---

**INT. MARA'S KITCHEN - MORNING**

*She pours coffee into a travel mug that reads ""WORLD'S OKAYEST EMPLOYEE."" It was a joke gift."
claude-sonnet-4-6,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,12,"# ORDINARY

### An Original Screenplay

---

**FADE IN:**

---

**EXT. MILLBROOK TRANSIT STATION - PLATFORM 4 - 6:47 AM**

Gray morning. The kind that can't decide between rain and fog, so it commits to both.

A commuter train sits humming at the platform. Doors open. Nobody remarkable getting on. Nobody remarkable getting off.

*Nobody remarkable* — except that's exactly what we're about to learn is wrong.

---

**INT. TRAIN - CONTINUOUS**

The car is three-quarters full. Office workers. Students. A woman knitting something aggressively yellow. A teenager whose headphones are loud enough to count as a public address system.

We find **DANNY KOWALSKI, 34**, wedged into a window seat with a paper coffee cup he's already drained and a messenger bag balanced on his knees like it might escape. He has the face of a man who has been told he's reliable many times, and has never been sure if that was a compliment.

He's wearing one black sock and one navy sock.

He notices this now.

He stares at them. Considers the implications. Moves on. Some battles you concede before 7 AM.

His phone buzzes.

He looks at the screen.

**TEXT FROM: MOM**
*""Did you eat breakfast?""*

He looks at the empty coffee cup.

He types back: *""Yes.""*

He puts the phone away.

---

He pulls a **folded piece of paper** from his jacket pocket. Unfolds it with the careful reverence of someone who's folded and unfolded it many times.

It's a **job listing.** Circled in red pen. Some of the ink has sm"
claude-sonnet-4-6,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,13,"# ORDINARY

### An Original Screenplay

---

**FADE IN:**

---

**EXT. RIDGEWAY, OHIO - DAWN**

A water tower. Rusted. The word **RIDGEWAY** painted on its belly in letters that were probably proud once.

Below it, a town that peaked sometime around 1987 and has been quietly negotiating with that fact ever since.

---

**INT. MARA'S APARTMENT - CONTINUOUS**

An alarm clock reads **5:47 AM.**

It doesn't go off. The alarm is set for six. Someone beat it.

**MARA CHEN (32)** sits at a kitchen table that's doing double duty as a desk, a filing system, and a graveyard for coffee mugs. She's still in yesterday's clothes. A legal pad in front of her is covered in crossed-out sentences — the wreckage of something she was trying to write and couldn't.

She looks at it the way you look at a car that won't start.

She closes the pad.

On the refrigerator behind her, held up by a magnet shaped like a lobster: a photo of a younger Mara in a press badge, grinning like the world owed her something. Next to it, a single sentence torn from something, taped carefully:

*""Journalism is printing what someone else does not want printed.""*

Below that, in her own handwriting, someone has added:

*""Good luck with that.""*

She stands. Pours coffee into the least-offensive mug. Looks out the window at the empty street below.

A plastic bag tumbles across the intersection. Nothing else moves.

---

**INT. RIDGEWAY GAZETTE - MORNING**

A newsroom that has been"
claude-sonnet-4-6,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,14,"# ORDINARY

### An Original Screenplay

---

**FADE IN:**

---

**EXT. MILLBROOK SUBURB - DAWN**

The kind of neighborhood that exists in the background of other people's lives. Identical mailboxes. Identical lawns. A dog barking somewhere that nobody investigates.

A sprinkler misfires, soaking the sidewalk instead of the grass. Nobody has fixed it in weeks.

**INT. DENNY'S APARTMENT - CONTINUOUS**

Small. Honest about being small. A couch that serves as both furniture and filing system. Dishes in the drying rack that have been there long enough to question whether they were ever actually used.

A GOLDFISH circles its bowl on the windowsill with the patient resignation of someone who has accepted their circumstances.

An alarm clock reads **6:47 AM.**

It goes off.

A hand reaches out from under a blanket and silences it with the practiced accuracy of someone who has never once been excited to wake up.

**DENNY KOWALSKI** (38, the human equivalent of a Tuesday) sits up slowly. He studies the ceiling the way people do when they're trying to remember if they have a reason to get out of bed.

He does not immediately find one.

But he gets up anyway.

---

**INT. BATHROOM - MOMENTS LATER**

Denny brushes his teeth. Examines himself in the mirror with the detached curiosity of someone reviewing a quarterly report they didn't write and can't change.

He finds a gray hair. Studies it. Doesn't pull it. Leaves it where it lives.

---

**INT. KITCHEN - CONTINUOUS**

He makes coffee. The machine groans the way it always does. He has been meaning to replace it for two"
claude-sonnet-4-6,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,15,"# ORDINARY

### An Original Screenplay

---

**FADE IN:**

---

**EXT. MILLBROOK COMMUTER TRAIN STATION - DAWN**

*The kind of morning that doesn't apologize for being gray. A parking lot half-full of cars that cost too much and carry people who feel too little. Pigeons argue over a dropped granola bar near the entrance.*

*A digital clock above the platform reads 6:47 AM. The 6:50 to Union Station hasn't arrived yet.*

---

**INT./EXT. STATION PLATFORM - CONTINUOUS**

*DENNIS KOWALSKI, 38, stands at the yellow safety line with the practiced stillness of a man who has done this exact thing approximately nine hundred times. He is not handsome in any way that gets noticed. Medium height. A coat that was sensible when he bought it four years ago. A travel mug with a faded logo from a 5K he didn't finish.*

*He is eating a gas station breakfast sandwich with the quiet resignation of someone who has stopped expecting mornings to be good.*

*His phone buzzes. He glances down.*

**TEXT FROM ""CAROL (WORK)"":**
*""Dennis can you pull the Hendricks file before 9? Barton wants the full breakdown. Sorry for the early text!""*

*She is not sorry.*

*Dennis types back:*

**DENNIS (V.O.)**
*(typing, muttering)*
""No problem. Happy to.""

*He hits send. Stares at the words for a moment.*

*He is not happy. He has never once been happy to.*

---

*Around him, the platform fills in. A TEENAGER in headphones who sways slightly to music no one else can hear."
claude-sonnet-4-6,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,16,"# ORDINARY

### An Original Screenplay

---

**FADE IN:**

---

**EXT. SUBURBAN STREET - DAWN**

A garbage truck groans through a quiet neighborhood. Sprinklers tick across identical lawns. A dog barks once, then gives up.

Everything is exactly as forgettable as it sounds.

**INT. MARTA'S APARTMENT - CONTINUOUS**

An alarm clock reads **5:47 AM.**

It doesn't go off. It just sits there, judging.

**MARTA KOWALSKI (38)** is already awake, staring at the water stain on her ceiling. She's been awake for a while. You can tell. Her eyes have that particular exhaustion that sleep stopped fixing a long time ago.

She's not unhappy, exactly. She's just been *ground down* — the way a pencil gets ground down until there's barely enough left to hold onto.

She sits up. Runs her tongue over her teeth. Checks her phone.

**Three notifications.**

A coupon from a mattress store.

A reminder about a dental appointment she already canceled.

A text from her mother that reads only: *""Did you eat?""*

She stares at that last one for a moment. Types back *""Yes.""*

She hasn't eaten.

---

**INT. BATHROOM - MOMENTS LATER**

Marta brushes her teeth, studying her reflection with the clinical detachment of someone reviewing a document they didn't write. She pulls her dark hair back. Tucks one loose strand. Gives up on it.

On the mirror, someone has stuck a **Post-it note** — written in her own handwriting, faded from months of steam:

*""You are capable of more than you think."""
claude-sonnet-4-6,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,17,"# ORDINARY MEASURES

### An Original Screenplay

---

**FADE IN:**

---

**EXT. MILLBROOK BRIDGE — EARLY MORNING — 6:47 AM**

*Gray November light. The kind of morning that doesn't fully commit to existing. A two-lane bridge over the Cassidy River, connecting the old part of town to the new.*

*Traffic is thin. A school bus. A delivery truck. A few commuters doing the math on whether they're late.*

---

**INT. DELIVERY TRUCK — CONTINUOUS**

*DENNIS PARK, 41, sits in the passenger seat eating a gas station breakfast sandwich. He's wearing a bright yellow reflective vest over a fleece he's had since college. His hair suggests he lost an argument with a pillow.*

*His coworker, JEROME, drives. Jerome is twenty-three and talks like every thought is breaking news.*

**JEROME**
*(not looking at the road)*
All I'm saying is, if you had to fight either a horse-sized duck or a hundred duck-sized horses—

**DENNIS**
Jerome.

**JEROME**
It's a legitimate question, Dennis.

**DENNIS**
It's six forty-seven in the morning.

**JEROME**
Courage doesn't have office hours.

*Dennis takes a long sip of terrible coffee. He stares out the window at the river below. It's swollen from three days of rain. Brown and fast and indifferent.*

**DENNIS**
Duck-sized horses. Final answer.

**JEROME**
*(horrified)*
That's the WRONG answer. They'd swarm you—

*Dennis's phone buzzes. He glances at it.*

*A text from: MOM.*
*"""
claude-sonnet-4-6,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,18,"# ORDINARY

### An Original Screenplay

---

**FADE IN:**

---

**EXT. HIGHWAY 9 - EARLY MORNING**

A flat, gray Tuesday. The kind of morning that doesn't bother trying to look like anything.

A gas station sits at the edge of a two-lane highway cutting through central Ohio farmland. The sign out front reads **BUDDY'S FILL & GO**. One of the B's is burned out. Has been for years.

A rusted Civic pulls up to pump three.

---

**INT. BUDDY'S FILL & GO - CONTINUOUS**

Fluorescent lights hum overhead. A fly circles a rack of beef jerky with no particular urgency.

**NEIL PRUITT** (38, the kind of tired that a full night's sleep stopped fixing years ago) stands behind the counter in a red vest two sizes too large. He's eating a granola bar. Reading the wrapper. Not because it's interesting. Because there's nothing else to read.

His name tag is crooked. It's always crooked.

He straightens it. It immediately goes crooked again.

The door chimes. Neil doesn't look up.

**NEIL**
*(automatic, hollow)*
Morning. Coffee's fresh.

A **WOMAN** (60s, sensible raincoat) walks to the cooler and studies the orange juice selection with the gravity of someone choosing a mortgage.

Neil finishes the granola bar. Folds the wrapper into a perfect small square. Drops it in the trash. Stares at the middle distance.

His phone buzzes on the counter.

He glances at it.

**TEXT FROM ""DIANE"":**
*""Don't forget Dylan's thing is tonight. 6:30. Please don't"
claude-sonnet-4-6,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,19,"# ORDINARY MEASURES

### Written by [Author]

---

**FADE IN:**

**EXT. DOWNTOWN BUS STOP — EARLY MORNING**

A gray Tuesday. The kind of morning that doesn't bother to apologize for itself.

Rain taps against a scratched plexiglass shelter. A pigeon picks at something unidentifiable near the curb.

**MARTIN COLE (38)** stands under the shelter, coffee in one hand, phone in the other. He's the human equivalent of a grocery list — forgettable, functional, slightly crumpled. His umbrella is inside-out. He hasn't fixed it. He's past caring.

He scrolls his phone. A notification reads: *""Happy Birthday, Martin!""* — from his bank.

He stares at it.

**MARTIN**
*(to no one)*
Thanks, Chase.

A **WOMAN (60s)** sits on the bench beside him, clutching a canvas bag full of yarn. She glances up.

**WOMAN**
Birthday?

**MARTIN**
Apparently.

**WOMAN**
How old?

**MARTIN**
Thirty-eight.

**WOMAN**
*(nodding sagely)*
Nothing happens at thirty-eight.

**MARTIN**
Yeah. That's been my experience.

The **14 Bus** groans around the corner, its headlights cutting through the drizzle. Martin pockets his phone, grabs his bag — a weathered messenger bag with a broken clasp he's been meaning to fix since 2019.

He boards. Taps his card. The reader beeps twice.

**BUS DRIVER**
Insufficient funds.

Martin closes his eyes. A long beat.

**MARTIN**
I"
claude-sonnet-4-6,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,20,"# ORDINARY ORBIT

### An Original Screenplay

---

**FADE IN:**

---

**EXT. HIGHWAY 9 - EARLY MORNING**

A flat, gray Tuesday. The kind of morning that doesn't bother trying.

Fields of dead grass stretch in both directions. A water tower in the distance reads *MILLHAVEN - POP. 4,200*, though someone has spraypainted a line through the number and written *4,199* beneath it.

A 2009 Honda Civic with a cracked rear bumper and a faded *HONK IF YOU LOVE PEACE AND QUIET* sticker rolls down the highway at exactly the speed limit.

---

**INT. HONDA CIVIC - CONTINUOUS**

**DEREK PELL** (38, the kind of tired that sleep doesn't fix, wearing a dress shirt with a ketchup stain he hasn't noticed yet) grips the wheel with both hands and stares at the road like it personally owes him an apology.

A motivational podcast plays through the one working speaker.

**PODCAST HOST (V.O.)**
...and that's when I asked myself: *what would the best version of me do?* And friends, that question changed *everything.*

Derek reaches over and turns it off.

He opens a gas station coffee and takes a sip. Makes a face. Drinks more anyway.

His phone buzzes on the passenger seat. The screen reads: **SANDRA - WORK**

He glances at it.

Lets it ring.

It stops.

Buzzes again immediately.

He picks up, pinning the phone between his ear and shoulder.

**DEREK**
Sandra, I'm literally seven minutes away—

**SANDRA (V.O.)**
*(already"
claude-sonnet-4-6,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,21,"# ORDINARY MEASURES

### Written by [Author]

---

## FADE IN:

---

**EXT. MILLBROOK COMMUTER PARKING LOT - 6:47 AM**

Gray November sky. The kind of morning that doesn't so much arrive as *accumulate.*

A sea of identical sedans sits under humming fluorescent lights. A pigeon picks at an abandoned granola bar wrapper near a drainage grate.

Everything is aggressively, relentlessly normal.

---

**INT. 2009 HONDA CIVIC - CONTINUOUS**

**DANNY KOWALSKI** (38, the kind of face you forget while you're still looking at it) sits behind the wheel. He hasn't turned the engine off yet. He's just... sitting.

His work badge hangs from the rearview mirror. *MILLBROOK MUNICIPAL WATER AUTHORITY. DANNY KOWALSKI. INFRASTRUCTURE MAINTENANCE.*

On the passenger seat: a dented travel mug, a crumpled dry cleaning receipt, and a sticky note that reads *""Don't forget - Sarah's recital THURSDAY""* in handwriting that isn't his.

He stares at the note.

A beat. Two.

He pulls out his phone. Opens his calendar. Thursday is empty. He types: *""Recital - DON'T FORGET.""*

He's already forgotten why he had to write it down.

---

**DANNY (V.O.)**
My father used to say that a man's life is measured by the size of his problems. He was a firefighter. Three commendations. His problems were enormous.

He finally kills the engine. The car shudders like it resents stopping.

**DANNY (V.O.)**
Mine are... not."
